phase,community_id,size,fraud_account_count,fraud_ratio,density,unique_devices,unique_ips,unique_merchants,shared_device_count,shared_ip_count,shared_device_ratio,shared_ip_ratio,avg_proj_degree
T2,8,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,7,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,6,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,1,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,2,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,11,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,9,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,17,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,33,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,32,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,30,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,28,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,35,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,40,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,36,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,34,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,25,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,29,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,24,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,21,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,23,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,20,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,19,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,50,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,49,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,48,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,47,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,45,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,44,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,43,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,39,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,58,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,57,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,56,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,51,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,55,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,52,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,53,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,54,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,64,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,60,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,61,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,62,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,59,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,70,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,68,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,67,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,74,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,72,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,71,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,75,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,77,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,76,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,80,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,79,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
